Len	LD
2417	1.0
2120	1.0
1995	1.0
1993	1.0
1978	1.0
1973	0.3333
1655	1.0
1530	1.0
1513	1.0
1494	1.0
1485	0.1667
1300	1.0
1201	1.0
1190	1.0
483	1.0
444	1.0
419	1.0
363	1.0
86	1.0
520	1.0
625	1.0
682	0.3333
707	1.0
775	1.0
1006	1.0
1033	1.0
1810	1.0
2363	1.0
2531	1.0
3445	1.0
3462	1.0
3466	1.0
3608	1.0
4058	1.0
4193	1.0
4265	1.0
4490	1.0
5145	1.0
5463	1.0
6018	1.0
6726	1.0
7713	1.0
7843	1.0
7882	1.0
8025	1.0
8828	1.0
9227	1.0
9429	1.0
9134	1.0
8603	1.0
8563	0.1667
8350	1.0
7890	1.0
5778	1.0
5729	1.0
5573	1.0
5545	1.0
5544	0.0476
5543	1.0
5533	1.0
5525	1.0
5524	1.0
5507	1.0
5449	1.0
5440	1.0
5439	0.4444
5432	1.0
5431	0.0476
5422	1.0
5414	0.4444
5369	1.0
5368	1.0
5326	1.0
5296	1.0
5295	1.0
5284	1.0
5196	1.0
5079	1.0
5013	1.0
5012	1.0
5011	1.0
5008	1.0
4951	1.0
4841	1.0
4827	1.0
4784	0.3333
4716	0.0476
4715	0.0476
4682	0.0476
4664	0.1667
4662	0.3333
4588	1.0
4578	1.0
4457	0.0476
4456	1.0
4436	0.0476
4289	1.0
4266	1.0
4256	1.0
4255	1.0
4254	1.0
4245	1.0
4234	1.0
4233	1.0
4156	1.0
4142	1.0
4099	1.0
4097	1.0
4074	1.0
4030	1.0
4029	1.0
3996	1.0
3978	0.1667
3976	0.1667
3902	1.0
3892	1.0
3770	1.0
3765	1.0
3632	0.5238
3578	0.1667
3569	0.4444
3565	0.1667
3495	1.0
3300	1.0
3271	1.0
3270	1.0
3206	1.0
3139	1.0
3014	1.0
3006	1.0
3005	1.0
2996	1.0
2990	1.0
2672	1.0
2545	1.0
2537	1.0
2530	0.0476
2503	0.5238
2206	1.0
2081	0.1667
2079	0.1667
2064	1.0
2059	1.0
1741	1.0
1616	1.0
1599	1.0
1580	0.1667
1571	0.1667
1386	1.0
1287	1.0
1276	1.0
1003	1.0
964	1.0
939	1.0
883	1.0
606	1.0
520	1.0
105	1.0
162	1.0
187	1.0
255	1.0
486	1.0
513	1.0
1290	1.0
1843	1.0
2011	1.0
2925	1.0
2942	1.0
2946	1.0
3088	1.0
3538	1.0
3673	1.0
3745	1.0
3970	1.0
4625	1.0
4943	1.0
5498	1.0
6206	1.0
7193	1.0
7323	1.0
7362	1.0
7505	1.0
8308	1.0
8707	1.0
9583	1.0
9654	1.0
9123	1.0
9083	0.1667
8870	1.0
8410	1.0
6298	1.0
6249	1.0
6093	1.0
6065	1.0
6064	1.0
6063	1.0
6053	1.0
6045	1.0
6044	1.0
6027	1.0
5969	1.0
5960	1.0
5959	1.0
5952	1.0
5951	1.0
5942	1.0
5934	1.0
5889	1.0
5888	1.0
5846	1.0
5816	1.0
5815	1.0
5804	0.5238
5716	1.0
5599	1.0
5533	1.0
5532	1.0
5531	1.0
5528	1.0
5471	1.0
5361	1.0
5347	1.0
5304	1.0
5236	1.0
5235	1.0
5202	1.0
5184	1.0
5182	1.0
5108	0.4444
5098	1.0
4977	1.0
4976	1.0
4956	1.0
4809	1.0
4786	1.0
4776	1.0
4775	1.0
4774	1.0
4765	0.1667
4754	1.0
4753	1.0
4676	1.0
4662	1.0
4619	1.0
4617	1.0
4594	1.0
4550	1.0
4549	1.0
4516	1.0
4498	1.0
4496	1.0
4422	0.0476
4412	1.0
4290	1.0
4285	1.0
4152	1.0
4098	1.0
4089	1.0
4085	1.0
4015	1.0
3820	1.0
3791	1.0
3790	1.0
3726	1.0
3659	1.0
3534	1.0
3526	1.0
3525	1.0
3516	0.1667
3510	0.0476
3192	1.0
3065	1.0
3057	1.0
3050	1.0
3023	1.0
2726	1.0
2601	1.0
2599	1.0
2584	1.0
2579	0.3333
2261	1.0
2136	1.0
2119	1.0
2100	1.0
2091	0.1667
1906	1.0
1807	1.0
1796	1.0
1108	1.0
1069	1.0
1044	1.0
988	1.0
711	1.0
625	1.0
105	1.0
57	1.0
82	1.0
150	1.0
381	1.0
408	1.0
1185	1.0
1738	1.0
1906	1.0
2820	1.0
2837	1.0
2841	1.0
2983	1.0
3433	1.0
3568	1.0
3640	1.0
3865	1.0
4520	1.0
4838	1.0
5393	1.0
6101	1.0
7088	1.0
7218	1.0
7257	1.0
7400	1.0
8203	1.0
8602	1.0
9478	1.0
9759	1.0
9228	1.0
9188	0.1667
8975	1.0
8515	1.0
6403	1.0
6354	1.0
6198	1.0
6170	1.0
6169	1.0
6168	1.0
6158	1.0
6150	1.0
6149	1.0
6132	1.0
6074	1.0
6065	1.0
6064	1.0
6057	1.0
6056	1.0
6047	1.0
6039	1.0
5994	1.0
5993	1.0
5951	1.0
5921	1.0
5920	1.0
5909	0.5238
5821	1.0
5704	1.0
5638	1.0
5637	1.0
5636	1.0
5633	1.0
5576	1.0
5466	1.0
5452	1.0
5409	1.0
5341	1.0
5340	1.0
5307	1.0
5289	1.0
5287	1.0
5213	0.4444
5203	1.0
5082	1.0
5081	1.0
5061	1.0
4914	1.0
4891	1.0
4881	1.0
4880	1.0
4879	1.0
4870	0.1667
4859	1.0
4858	1.0
4781	1.0
4767	1.0
4724	1.0
4722	1.0
4699	1.0
4655	1.0
4654	1.0
4621	1.0
4603	1.0
4601	1.0
4527	0.0476
4517	1.0
4395	1.0
4390	1.0
4257	1.0
4203	1.0
4194	1.0
4190	1.0
4120	1.0
3925	1.0
3896	1.0
3895	1.0
3831	1.0
3764	1.0
3639	1.0
3631	1.0
3630	1.0
3621	0.1667
3615	0.0476
3297	1.0
3170	1.0
3162	1.0
3155	1.0
3128	1.0
2831	1.0
2706	1.0
2704	1.0
2689	1.0
2684	0.3333
2366	1.0
2241	1.0
2224	1.0
2205	1.0
2196	0.1667
2011	1.0
1912	1.0
1901	1.0
1165	1.0
1126	1.0
1101	1.0
1045	1.0
768	1.0
682	0.3333
162	1.0
57	1.0
25	1.0
93	1.0
324	1.0
351	1.0
1128	0.2
1681	1.0
1849	1.0
2763	1.0
2780	0.3333
2784	1.0
2926	0.2
3376	1.0
3511	1.0
3583	1.0
3808	1.0
4463	0.3333
4781	1.0
5336	1.0
6044	1.0
7031	0.3333
7161	1.0
7200	1.0
7343	1.0
8146	1.0
8545	1.0
9421	1.0
9716	1.0
9285	1.0
9245	0.5
9032	0.3333
8572	1.0
6460	1.0
6411	1.0
6255	0.2
6227	0.2
6226	1.0
6225	0.2
6215	1.0
6207	1.0
6206	1.0
6189	0.2
6131	1.0
6122	1.0
6121	0.0
6114	1.0
6113	1.0
6104	0.3333
6096	0.0
6051	1.0
6050	1.0
6008	0.2
5978	1.0
5977	1.0
5966	0.3333
5878	1.0
5761	0.3333
5695	1.0
5694	0.2
5693	1.0
5690	0.5
5633	0.5
5523	1.0
5509	0.2
5466	0.6
5398	1.0
5397	1.0
5364	1.0
5346	1.0
5344	1.0
5270	0.0
5260	1.0
5139	0.3333
5138	0.2
5118	0.3333
4971	0.0
4948	1.0
4938	0.5
4937	0.5
4936	1.0
4927	0.5
4916	0.3333
4915	0.3333
4838	1.0
4824	0.2
4781	1.0
4779	1.0
4756	0.2
4712	0.2
4711	0.2
4678	0.3333
4660	1.0
4658	1.0
4584	0.3333
4574	1.0
4452	0.2
4447	1.0
4314	0.3333
4260	1.0
4251	0.5
4247	0.5
4177	1.0
3982	1.0
3953	1.0
3952	1.0
3888	1.0
3821	1.0
3696	1.0
3688	0.3333
3687	0.0
3678	0.5
3672	0.3333
3354	1.0
3227	1.0
3219	1.0
3212	1.0
3185	0.3333
2888	1.0
2763	1.0
2761	1.0
2746	0.2
2741	0.6
2423	1.0
2298	1.0
2281	1.0
2262	1.0
2253	0.5
2068	1.0
1969	1.0
1958	1.0
1190	1.0
1151	1.0
1126	1.0
1070	1.0
793	1.0
707	1.0
187	1.0
82	1.0
25	1.0
68	1.0
299	1.0
326	1.0
1103	1.0
1656	1.0
1824	1.0
2738	1.0
2755	1.0
2759	1.0
2901	1.0
3351	1.0
3486	1.0
3558	1.0
3783	1.0
4438	1.0
4756	1.0
5311	1.0
6019	1.0
7006	1.0
7136	1.0
7175	1.0
7318	1.0
8121	1.0
8520	1.0
9396	1.0
9691	1.0
9310	1.0
9270	0.1667
9057	1.0
8597	1.0
6485	1.0
6436	1.0
6280	1.0
6252	1.0
6251	1.0
6250	1.0
6240	1.0
6232	1.0
6231	1.0
6214	1.0
6156	1.0
6147	1.0
6146	1.0
6139	1.0
6138	1.0
6129	1.0
6121	1.0
6076	1.0
6075	1.0
6033	1.0
6003	1.0
6002	1.0
5991	0.5238
5903	1.0
5786	1.0
5720	1.0
5719	1.0
5718	1.0
5715	1.0
5658	1.0
5548	1.0
5534	1.0
5491	1.0
5423	1.0
5422	1.0
5389	1.0
5371	1.0
